Postal Code,State,Primary_city,Zone
07921,NJ,Bedminster,NJ-EDS-A
07922,NJ,Berkeley Heights,NJ-EDS-A
07924,NJ,Bernardsville,NJ-EDS-A
07927,NJ,Cedar Knolls,NJ-EDS-A
07928,NJ,Chatham,NJ-EDS-A
07931,NJ,Far Hills,NJ-EDS-A
07932,NJ,Florham Park,NJ-EDS-A
07933,NJ,Gillette,NJ-EDS-A
07934,NJ,Gladstone,NJ-EDS-A
07935,NJ,Green Village,NJ-EDS-A
07936,NJ,East Hanover,NJ-EDS-A
07939,NJ,Lyons,NJ-EDS-A
07940,NJ,Madison,NJ-EDS-A
07945,NJ,Mendham,NJ-EDS-A
07946,NJ,Millington,NJ-EDS-A
07950,NJ,Morris Plains,NJ-EDS-A
07960,NJ,Morristown,NJ-EDS-A
07974,NJ,New Providence,NJ-EDS-A
07976,NJ,New Vernon,NJ-EDS-A
07977,NJ,Peapack,NJ-EDS-A
07980,NJ,Stirling,NJ-EDS-A
07981,NJ,Whippany,NJ-EDS-A
07999,NJ,Whippany,NJ-EDS-A
08002,NJ,Cherry Hill,NJ-EDS-B
08003,NJ,Cherry Hill,NJ-EDS-B
08007,NJ,Barrington,NJ-EDS-B
08009,NJ,Berlin,NJ-EDS-B
08010,NJ,Beverly,NJ-EDS-A
08012,NJ,Blackwood,NJ-EDS-B
08015,NJ,Browns Mills,NJ-EDS-A
08016,NJ,Burlington,NJ-EDS-A
08020,NJ,Clarksboro,NJ-EDS-B
08021,NJ,Clementon,NJ-EDS-B
08022,NJ,Columbus,NJ-EDS-A
08026,NJ,Gibbsboro,NJ-EDS-B
08027,NJ,Gibbstown,NJ-EDS-B
08029,NJ,Glendora,NJ-EDS-B
08030,NJ,Gloucester City,NJ-EDS-B
08031,NJ,Bellmawr,NJ-EDS-B
08032,NJ,Grenloch,NJ-EDS-B
08033,NJ,Haddonfield,NJ-EDS-B
08034,NJ,Cherry Hill,NJ-EDS-B
08035,NJ,Haddon Heights,NJ-EDS-B
08036,NJ,Hainesport,NJ-EDS-A
08041,NJ,Jobstown,NJ-EDS-A
08043,NJ,Voorhees,NJ-EDS-B
08045,NJ,Lawnside,NJ-EDS-B
08046,NJ,Willingboro,NJ-EDS-A
08048,NJ,Lumberton,NJ-EDS-A
08049,NJ,Magnolia,NJ-EDS-B
08051,NJ,Mantua,NJ-EDS-B
08052,NJ,Maple Shade,NJ-EDS-B
08053,NJ,Marlton,NJ-EDS-B
